gene	score	logfoldchange	pval	pval_adj	pct_within	pct_outside	cluster
Dock2	2.5426958	1.6223881	0.011000095097805262	0.19298389034920221	0.10986547085201794	0.03809086737035337	B cells
P2ry10	2.5425744	2.704413	0.011003916620536503	0.19298389034920221	0.08744394618834081	0.015909438580388558	B cells
Serpina3g	2.5389209	2.608	0.011119497964270277	0.19480946898353266	0.08744394618834081	0.015909438580388558	B cells
Bach2	2.5375614	3.7772481	0.011162779488519481	0.19536592089350038	0.07847533632286996	0.006883891693437357	B cells
Mtdh	2.5324028	0.89818037	0.011328381731857278	0.19778919209350773	0.20179372197309417	0.13951353832033042	B cells
Rasgrp2	2.5311282	2.0094852	0.01136962975473733	0.1981680894250672	0.09865470852017937	0.027688542144714702	B cells
Rps18-ps3	2.5235054	1.645291	0.011619127194854681	0.20086521722481196	0.10762331838565023	0.036561113660700625	B cells
Acap1	2.51865	2.6000192	0.011780563992321835	0.20324169353589625	0.08744394618834081	0.016521340064249657	B cells
Gm20645	2.513467	3.5195162	0.011955090193553994	0.20583388283500728	0.08071748878923767	0.010096374483708122	B cells
Srrm1	2.5089276	0.8191816	0.012109833059351186	0.20828667226525027	0.21748878923766815	0.15588190301361482	B cells
Traf3ip3	2.5006614	2.223201	0.012396161668465215	0.2127798641047587	0.09417040358744394	0.02401713324154811	B cells
Plgrkt	2.4848092	1.3785475	0.012962094219218968	0.22115106223715744	0.11883408071748879	0.048799143337922596	B cells
Rsrc2	2.481629	1.0465362	0.013078341424992838	0.22291014294115935	0.18161434977578475	0.11886186324001835	B cells
Tob2	2.4685075	1.332194	0.013567779432233246	0.22804357917863588	0.13452914798206278	0.06761511396665137	B cells
Arhgap4	2.4622686	2.6427147	0.013806125319018049	0.23113334578995764	0.08520179372197309	0.015909438580388558	B cells
Slc38a2	2.4613218	1.3043851	0.01384261581507459	0.23151570178288952	0.1412556053811659	0.0758757839987762	B cells
Ccl5	18.627462	6.3498545	1.9243460210797744e-77	3.2634984171491896e-73	1.0	0.06407823675375858	CD8+ T cells
Ms4a4b	15.526689	4.5069118	2.2889915742251937e-54	1.940950405364253e-50	0.8560606060606061	0.07093854911691724	CD8+ T cells
Nkg7	14.428775	4.7557096	3.410874139627257e-47	1.9281671511312884e-43	0.7803030303030303	0.05181725295577288	CD8+ T cells
Tmsb10	13.755633	2.8410153	4.71136968252508e-43	1.9975029611485707e-39	0.8939393939393939	0.3228725733469566	CD8+ T cells
Rps15a	12.843146	2.5975065	9.397631254863183e-38	3.1874885690244946e-34	0.8484848484848485	0.38651291782221575	CD8+ T cells
Rplp0	12.638126	2.3403797	1.301177042272472e-36	3.677776909983142e-33	0.8636363636363636	0.42198219238067436	CD8+ T cells
Rpl32	12.60186	2.3181527	2.0622193676578956e-36	4.996168322301465e-33	0.8787878787878788	0.48868778280542985	CD8+ T cells
Ly6c2	12.55862	4.5677924	3.5649430037559646e-36	7.557233550087176e-33	0.6818181818181818	0.055758283462268285	CD8+ T cells
Rps18	12.527149	2.398357	5.3034865877009795e-36	9.993536560091212e-33	0.8560606060606061	0.44854765727631	CD8+ T cells
Rps3	12.010296	2.056949	3.1372172700100634e-33	5.3204067682100664e-30	0.8712121212121212	0.5006568384177492	CD8+ T cells
B2m	11.971174	2.0961835	5.031124136093136e-33	7.756621293091228e-30	0.9545454545454546	0.4854765727631003	CD8+ T cells
Rps5	11.933471	2.1950486	7.920141258081758e-33	1.1193139632984044e-29	0.8484848484848485	0.45599182601080135	CD8+ T cells
Rpl18a	11.84808	2.1495118	2.2017774515585369e-32	2.8723033693062484e-29	0.8560606060606061	0.47847029630710847	CD8+ T cells
Rpl13a	11.755802	2.081403	6.593128834422218e-32	7.986633707354743e-29	0.8939393939393939	0.5167128886293971	CD8+ T cells
Trbc2	11.727797	3.8579788	9.181751865490146e-32	1.038088865912316e-28	0.6590909090909091	0.058823529411764705	CD8+ T cells
Gm6472	11.288618	2.383747	1.4936636533515354e-29	1.4900612880699226e-26	0.7651515151515151	0.32827324478178366	CD8+ T cells
H2-Q7	11.2134495	3.2236066	3.502714984318653e-29	3.3001413010588906e-26	0.6666666666666666	0.11662531017369727	CD8+ T cells
Ptprc	10.912142	2.656543	1.0085154273090378e-27	9.001796385123142e-25	0.7121212121212122	0.20639322726609255	CD8+ T cells
Rps4x	10.706381	2.212714	9.500312586018567e-27	7.679406679648119e-24	0.7651515151515151	0.3854911691723836	CD8+ T cells
Rplp1	10.699756	1.9115316	1.0204680241995097e-26	7.866416919272494e-24	0.8409090909090909	0.5089767917092395	CD8+ T cells
Gm8730	10.527319	2.386993	6.464982461699917e-26	4.766940763824734e-23	0.7121212121212122	0.2901766165523281	CD8+ T cells
Rps24	10.3896	2.0260696	2.7651047300270144e-25	1.9538921298553392e-22	0.7954545454545454	0.38140417457305503	CD8+ T cells
Rps14	10.327203	1.5942929	5.3086173811073485e-25	3.6011536866479806e-22	0.8863636363636364	0.6117355130637863	CD8+ T cells
Rpl4	10.275746	1.8449564	9.06403782790558e-25	5.912192981671182e-22	0.803030303030303	0.43891402714932126	CD8+ T cells
Rpl36	10.197003	2.1568925	2.0448526570569393e-24	1.284394674482542e-21	0.7348484848484849	0.33104656254561377	CD8+ T cells
Rps11	10.163352	1.976443	2.889659444834223e-24	1.750204804462271e-21	0.7727272727272727	0.4103050649540213	CD8+ T cells
Gm9493	10.077701	2.3962045	6.932959046779783e-24	4.0543466370461495e-21	0.6818181818181818	0.26054590570719605	CD8+ T cells
Rps3a1	10.02511	1.765819	1.1822705480535354e-23	6.683375408146636e-21	0.803030303030303	0.4723398044081156	CD8+ T cells
Rpsa	9.901515	2.0790846	4.100171672017049e-23	2.243058431797972e-20	0.7196969696969697	0.29192818566632606	CD8+ T cells
Gm7808	9.763404	2.3908725	1.6163727029121507e-22	8.566270208964739e-20	0.6590909090909091	0.22901766165523282	CD8+ T cells
Rps7	9.758042	2.415124	1.7041291184590518e-22	8.757674460590018e-20	0.6590909090909091	0.25616698292220114	CD8+ T cells
Gm10275	9.682372	2.5071828	3.583039190439437e-22	1.736136046590355e-19	0.6439393939393939	0.20989636549408847	CD8+ T cells
Rplp2	9.671018	1.8520998	4.0037788271843827e-22	1.886113475839443e-19	0.7727272727272727	0.40329878849802947	CD8+ T cells
Rps19	9.622198	1.5893275	6.44392499123983e-22	2.953581727741521e-19	0.8409090909090909	0.5829805867756532	CD8+ T cells
Rpl39	9.585649	2.305345	9.18783770136989e-22	4.1004352520403147e-19	0.6590909090909091	0.2684279667201868	CD8+ T cells
Ms4a6b	9.449608	3.3494058	3.401012165391337e-21	1.4789170593044024e-18	0.553030303030303	0.08422128156473507	CD8+ T cells
Gm10073	9.417287	1.8339553	4.6289285041948944e-21	1.9625499625660306e-18	0.7424242424242424	0.409137352211356	CD8+ T cells
Eef1a1	9.398522	1.5253152	5.5334764956736105e-21	2.2348015474991947e-18	0.8333333333333334	0.564881039264341	CD8+ T cells
Wdr89	9.3985	1.820222	5.534622618961388e-21	2.2348015474991947e-18	0.75	0.41964676689534375	CD8+ T cells
Rpl13	9.359467	2.4439874	8.014018773377855e-21	3.160691729714303e-18	0.6363636363636364	0.23427236899722667	CD8+ T cells
Id2	9.134134	2.3881207	6.593200338236508e-20	2.541229194003476e-17	0.6212121212121212	0.207706904101591	CD8+ T cells
Rpl18	8.876438	1.9201548	6.903572668249483e-19	2.601726419574289e-16	0.6742424242424242	0.3352795212377755	CD8+ T cells
Cd52	8.829798	2.027161	1.0486512455833912e-18	3.866103581271463e-16	0.6742424242424242	0.24346810684571596	CD8+ T cells
H2-D1	8.8157625	1.4487461	1.1887353696474111e-18	4.2893113050745627e-16	0.8333333333333334	0.5534958400233543	CD8+ T cells
Rpl9-ps6	8.807132	2.1215684	1.2838888206436289e-18	4.536139689436521e-16	0.6287878787878788	0.27076339220551743	CD8+ T cells
Il7r	8.740048	3.3671029	2.3301030750250984e-18	8.064534295785846e-16	0.5075757575757576	0.06232666763976062	CD8+ T cells
Gimap4	8.728258	3.139613	2.586256601393226e-18	8.772065140605544e-16	0.5151515151515151	0.07750693329440958	CD8+ T cells
Gm9843	8.695958	1.5177479	3.439141458230486e-18	1.1436156860809962e-15	0.7878787878787878	0.4643117793022916	CD8+ T cells
Rpsa-ps10	8.673838	2.0489397	4.177975194144075e-18	1.3625823330286416e-15	0.6287878787878788	0.23923514815355423	CD8+ T cells
H2-K1	8.664705	1.5555565	4.526822261168231e-18	1.4484977118330573e-15	0.7803030303030303	0.4304481097649978	CD8+ T cells
Thy1	8.64897	3.7341065	5.1966406999391815e-18	1.6320338820420107e-15	0.48484848484848486	0.04802218654211064	CD8+ T cells
Rps9	8.639119	1.4467417	5.664827227634976e-18	1.7467237264265737e-15	0.803030303030303	0.5387534666472048	CD8+ T cells
Rpl41	8.637027	1.2066875	5.7695011089513864e-18	1.7472315947626173e-15	0.8787878787878788	0.7263173259378193	CD8+ T cells
Gm10288	8.558654	1.758184	1.1419297705801658e-17	3.3975415753103565e-15	0.6893939393939394	0.3526492482849219	CD8+ T cells
Rpl35	8.505061	1.7045476	1.8149934975216667e-17	5.3069784007706804e-15	0.696969696969697	0.3838855641512188	CD8+ T cells
Rpl6	8.50079	1.9490135	1.883050710545166e-17	5.4126537288365195e-15	0.6363636363636364	0.2729528535980149	CD8+ T cells
Gm9846	8.487124	1.7705542	2.1181239720153047e-17	5.9868774069012586e-15	0.7121212121212122	0.38607502554371625	CD8+ T cells
Rpl23a-ps3	8.475748	2.1740425	2.335737491127038e-17	6.493733133118596e-15	0.6060606060606061	0.25616698292220114	CD8+ T cells
Rps15	8.428411	1.6715008	3.503915270458578e-17	9.584338559952746e-15	0.7196969696969697	0.4272368997226682	CD8+ T cells
Mir682	8.4046545	1.5490642	4.291219882865144e-17	1.1551555237065074e-14	0.7424242424242424	0.4644577433951248	CD8+ T cells
Gnb2l1	8.371854	1.8365401	5.671857613199775e-17	1.502953644722734e-14	0.6439393939393939	0.3043351335571449	CD8+ T cells
AW112010	8.346485	3.0564222	7.032422459503946e-17	1.8348131152419603e-14	0.5075757575757576	0.0983797985695519	CD8+ T cells
Rps2	8.290518	1.8189348	1.127567025762278e-16	2.8973347257427993e-14	0.6515151515151515	0.32710553203911835	CD8+ T cells
Rps25	8.145738	1.4265542	3.769770648615972e-16	9.542020959683325e-14	0.7424242424242424	0.47088016347978395	CD8+ T cells
Rpl14	8.110278	1.7784454	5.050405333505669e-16	1.2595562360429799e-13	0.6590909090909091	0.3758575390453948	CD8+ T cells
Cd8b1	7.995487	4.0623765	1.2906263986113901e-15	3.1268190134357954e-13	0.4393939393939394	0.035615238651291785	CD8+ T cells
Rps10-ps1	7.9342012	1.8916281	2.1185432609242244e-15	5.060334529861116e-13	0.6060606060606061	0.24872281418770983	CD8+ T cells
Tmsb4x	7.904539	1.2359743	2.6892676681811305e-15	6.334345886761638e-13	0.9393939393939394	0.749379652605459	CD8+ T cells
Gm10269	7.8335547	1.6544645	4.742660188557593e-15	1.101791426544496e-12	0.6590909090909091	0.3558604583272515	CD8+ T cells
Rpl34	7.785019	1.4933205	6.970289468317855e-15	1.5974207985567907e-12	0.7045454545454546	0.42008465917384324	CD8+ T cells
Pabpc1	7.751063	1.5236076	9.112641864901355e-15	2.0337871497264192e-12	0.7045454545454546	0.3570281710699168	CD8+ T cells
Rps26	7.7510414	1.5660454	9.114206225556216e-15	2.0337871497264192e-12	0.6742424242424242	0.37979856955189023	CD8+ T cells
Rpl9	7.7352405	2.325481	1.0320794651838896e-14	2.273121512993972e-12	0.5303030303030303	0.1931104948182747	CD8+ T cells
Rps20	7.703573	1.7000868	1.3231336090249651e-14	2.876797804545434e-12	0.6287878787878788	0.3459349000145964	CD8+ T cells
Uba52	7.69479	2.2716954	1.4172679263180954e-14	3.0424616154972886e-12	0.5303030303030303	0.17398919865713033	CD8+ T cells
Cd3d	7.664452	3.419635	1.795961024939435e-14	3.8072128777434846e-12	0.4393939393939394	0.05283900160560502	CD8+ T cells
Rpl37	7.5892396	1.5177954	3.217878335143964e-14	6.7372837883588254e-12	0.6742424242424242	0.42169026419500805	CD8+ T cells
Rps16	7.3981247	2.3877795	1.3812098161366557e-13	2.7770903803039882e-11	0.5	0.16523135308714057	CD8+ T cells
Lrrc58	7.3971004	1.3863593	1.3919021305845804e-13	2.7770903803039882e-11	0.7424242424242424	0.4486936213691432	CD8+ T cells
Rpl26	7.3697267	1.4438831	1.709781191851014e-13	3.3716487479769e-11	0.6742424242424242	0.42431761786600497	CD8+ T cells
Rps26-ps1	7.366959	1.7156215	1.745643184896858e-13	3.4028003186972204e-11	0.5984848484848485	0.27382863815501385	CD8+ T cells
Rpl8	7.2497053	1.44108	4.176800669620753e-13	8.049359381374813e-11	0.6590909090909091	0.4158517004816815	CD8+ T cells
Rac2	7.125564	2.4520411	1.0365513617069596e-12	1.975154443054868e-10	0.4696969696969697	0.11793898700919574	CD8+ T cells
Rps10	7.091674	1.7146881	1.3249932321881422e-12	2.4967289138531895e-10	0.5757575757575758	0.2650707925850241	CD8+ T cells
Gm11808	6.99033	2.1758149	2.742401295759692e-12	5.110811381844903e-10	0.49242424242424243	0.1872719311049482	CD8+ T cells
Hcst	6.7970796	3.0631962	1.0676129617117933e-11	1.9058577071231897e-09	0.4015151515151515	0.05955334987593052	CD8+ T cells
Gm2000	6.6910496	1.8565534	2.215754036567061e-11	3.873914711973277e-09	0.5227272727272727	0.23354254853306086	CD8+ T cells
Rpl35a	6.6526914	1.2976398	2.8778085409955173e-11	4.878178670621248e-09	0.6666666666666666	0.4482557290906437	CD8+ T cells
Arhgdib	6.6467853	1.8324827	2.9956349722692015e-11	4.980683675952293e-09	0.5075757575757576	0.18654211064078235	CD8+ T cells
Rpl22	6.6357574	1.4423517	3.228405787707352e-11	5.31558580133291e-09	0.6136363636363636	0.36038534520507953	CD8+ T cells
Pdcd4	6.621613	2.5346155	3.553007659874103e-11	5.793793933058165e-09	0.42424242424242425	0.09210334257772589	CD8+ T cells
Rpl21	6.600603	1.3345813	4.0948875903378915e-11	6.613828442337171e-09	0.6439393939393939	0.4103050649540213	CD8+ T cells
Rps21	6.581947	1.4273655	4.643270803264137e-11	7.3448701647869666e-09	0.6136363636363636	0.34695664866442855	CD8+ T cells
Gimap6	6.58186	2.6916807	4.645994825810189e-11	7.3448701647869666e-09	0.4090909090909091	0.07677711283024376	CD8+ T cells
Rpl29	6.5808573	1.9988304	4.6774336800341554e-11	7.3448701647869666e-09	0.48484848484848486	0.1998248430886002	CD8+ T cells
Npm1	6.5131855	1.9983163	7.35734416666347e-11	1.1447082543343652e-08	0.49242424242424243	0.19894905853160122	CD8+ T cells
Gm10036	6.390854	2.2059574	1.6496197311906548e-10	2.5432637292056646e-08	0.44696969696969696	0.1520945847321559	CD8+ T cells
Ptprcap	6.3746824	2.6335773	1.8334244914238115e-10	2.7761648169693232e-08	0.4015151515151515	0.07969639468690702	CD8+ T cells
Selplg	6.329873	2.6505542	2.453627679415831e-10	3.6500940188783406e-08	0.4015151515151515	0.08918406072106262	CD8+ T cells
Lgals1	6.206735	2.1942515	5.409672836720826e-10	7.841251422046879e-08	0.44696969696969696	0.15370018975332067	CD8+ T cells
Jak1	6.1837635	2.3574078	6.259105878666955e-10	8.995608186128211e-08	0.4166666666666667	0.1180849511020289	CD8+ T cells
S100a6	6.0460887	1.705661	1.4840456393495799e-09	2.0973274998107938e-07	0.4772727272727273	0.16756677857247118	CD8+ T cells
Gm7536	5.9845195	1.7573345	2.1702971202032005e-09	3.0418238728533945e-07	0.4772727272727273	0.21150197051525324	CD8+ T cells
Lck	5.940146	3.3207583	2.847682696413673e-09	3.9585123646294657e-07	0.3409090909090909	0.04086994599328565	CD8+ T cells
Il2rg	5.831523	2.3097918	5.492379039280368e-09	7.511714203802883e-07	0.38636363636363635	0.09181141439205956	CD8+ T cells
Rpl23	5.8286242	1.6198161	5.588619851180725e-09	7.582192324493913e-07	0.49242424242424243	0.2338344767187272	CD8+ T cells
Actb	5.7836843	1.0664423	7.308209188188941e-09	9.836501557340971e-07	0.8636363636363636	0.6231207123047731	CD8+ T cells
Pfn1	5.772024	1.2915488	7.83248723966607e-09	1.0459145755708416e-06	0.5757575757575758	0.3301707779886148	CD8+ T cells
Shisa5	5.69145	1.7496204	1.2596478565440345e-08	1.630715114437426e-06	0.4393939393939394	0.15866296890964823	CD8+ T cells
Ptpn18	5.6406913	2.3599503	1.6936884284584436e-08	2.176004701380814e-06	0.3712121212121212	0.0900598452780616	CD8+ T cells
Sept1	5.610964	3.1692169	2.0120297478912567e-08	2.5655648492096105e-06	0.32575757575757575	0.04174573055028463	CD8+ T cells
Rpl19	5.605101	1.9213198	2.0813355000164883e-08	2.6341319958790767e-06	0.4393939393939394	0.1955918843964385	CD8+ T cells
Rps8	5.588537	1.546105	2.2899022537850525e-08	2.8554744354368163e-06	0.48484848484848486	0.24974456283754196	CD8+ T cells
Eef1b2	5.5623403	1.6412374	2.661803878984213e-08	3.295002334576151e-06	0.4696969696969697	0.22741205663406802	CD8+ T cells
Ctsw	5.5583086	4.0824003	2.7240165347330814e-08	3.3475794501839367e-06	0.30303030303030304	0.021894613924974455	CD8+ T cells
Klrd1	5.3752575	4.116611	7.647333214135179e-08	9.263651712751322e-06	0.29545454545454547	0.025397752152970368	CD8+ T cells
Bcl2	5.351349	3.548243	8.730096008887134e-08	1.0426316775684288e-05	0.30303030303030304	0.03459349000145964	CD8+ T cells
Rps3a2	5.3112254	1.6574918	1.0889045668027728e-07	1.282411982528349e-05	0.44696969696969696	0.21734053422857977	CD8+ T cells
Rps23	5.2968197	1.7571896	1.1783708910007622e-07	1.3782063407228915e-05	0.42424242424242425	0.18785578747628084	CD8+ T cells
Rpl30	5.2428784	1.8213217	1.5809075337139296e-07	1.8363432098804474e-05	0.4090909090909091	0.1701941322434681	CD8+ T cells
S100a10	5.213565	1.5095737	1.852456466417909e-07	2.1084435714081423e-05	0.4621212121212121	0.22011385199240988	CD8+ T cells
Psmb8	5.110194	1.7047647	3.21827870038443e-07	3.544077174014256e-05	0.4015151515151515	0.1500510874324916	CD8+ T cells
Rps28	5.0497804	1.1594908	4.423188220312399e-07	4.777888473138725e-05	0.553030303030303	0.35717413516275	CD8+ T cells
Epsti1	4.9350543	3.1690392	8.01283726690667e-07	8.600614380346216e-05	0.2878787878787879	0.04014012552911984	CD8+ T cells
Eef1g	4.890376	1.631603	1.006435239549724e-06	0.00010734676243725641	0.4090909090909091	0.18887753612611297	CD8+ T cells
Gm10260	4.8798056	2.7195494	1.0619037201819087e-06	0.00011255515744103118	0.30303030303030304	0.06086702671142899	CD8+ T cells
Rps17	4.8714805	1.3437113	1.1076520384898034e-06	0.00011667497466303464	0.4621212121212121	0.2637571157495256	CD8+ T cells
Rpl3	4.7558613	1.4606589	1.9760229377965336e-06	0.00020309923031570551	0.45454545454545453	0.28025105823967306	CD8+ T cells
Skap1	4.7477317	3.1983283	2.057105604513239e-06	0.0002101593611261447	0.2727272727272727	0.03138227995913005	CD8+ T cells
Ptpn22	4.7247825	3.0431306	2.303619769722327e-06	0.00023393465673485596	0.2803030303030303	0.041891694643117795	CD8+ T cells
Rpl13a-ps1	4.715476	2.20012	2.4114617522733823e-06	0.00024198804648996623	0.32575757575757575	0.09721208582688659	CD8+ T cells
Ncl	4.6771836	1.4598106	2.908421319667257e-06	0.000288443960001386	0.44696969696969696	0.2662385053276894	CD8+ T cells
Gm10076	4.649984	0.8721201	3.319607766158137e-06	0.00032354728796710257	0.6287878787878788	0.529119836520216	CD8+ T cells
Ctla2a	4.627601	1.9502217	3.6992553105407714e-06	0.0003584895474940625	0.3181818181818182	0.07852868194424172	CD8+ T cells
Lat	4.570478	2.7814395	4.866127832512463e-06	0.00046103163079094333	0.2803030303030303	0.050211647934608084	CD8+ T cells
Ablim1	4.4422836	2.4812691	8.900915963601475e-06	0.0008159493720363103	0.2878787878787879	0.06699751861042183	CD8+ T cells
Cd3g	4.386577	2.54078	1.1514836082711341e-05	0.0010387239634399022	0.2727272727272727	0.04831411472777697	CD8+ T cells
Trbc1	4.334445	2.5779915	1.4612835732217209e-05	0.0013043109535930085	0.26515151515151514	0.043497299664282583	CD8+ T cells
Gas5	4.327427	1.425874	1.5086122107994481e-05	0.0013395054703114052	0.3939393939393939	0.1970515253247701	CD8+ T cells
Rpl7	4.3136096	1.1909999	1.6061052770720672e-05	0.0014112921965733257	0.4621212121212121	0.2922201138519924	CD8+ T cells
Cd53	4.2142053	1.659642	2.5065917179604602e-05	0.002168841272698543	0.3409090909090909	0.1382279959130054	CD8+ T cells
Ccnd2	4.2118516	1.9728558	2.532859991292648e-05	0.002180445309255432	0.29545454545454547	0.08276164063640344	CD8+ T cells
Laptm5	4.20625	1.0638945	2.5964256915223136e-05	0.002223877944572067	0.45454545454545453	0.2350021894613925	CD8+ T cells
Gm10132	4.101049	1.9364624	4.1128163140183955e-05	0.003461725679050192	0.30303030303030304	0.10538607502554372	CD8+ T cells
Trac	4.1004605	3.0304441	4.1232890333636346e-05	0.003461725679050192	0.24242424242424243	0.03590716683695811	CD8+ T cells
Fyb	4.092876	1.6207594	4.260555781268363e-05	0.003544898744405233	0.3181818181818182	0.10713764413954167	CD8+ T cells
Rpl22l1	4.09268	1.5283772	4.264162650266334e-05	0.003544898744405233	0.3712121212121212	0.19602977667493796	CD8+ T cells
Sh3kbp1	4.0656767	2.6191187	4.789330813287838e-05	0.0039428282166285656	0.25757575757575757	0.05459057071960298	CD8+ T cells
Ets1	4.058768	2.0604753	4.933233754010323e-05	0.004041676871220342	0.2878787878787879	0.08465917384323457	CD8+ T cells
Sp100	4.01313	2.0746114	5.991880050340676e-05	0.004833316294567487	0.2803030303030303	0.07867464603707489	CD8+ T cells
Cst7	4.0122805	3.894841	6.013501610671265e-05	0.004833316294567487	0.2196969696969697	0.016493942490147424	CD8+ T cells
Atp1b3	3.9233594	1.6966065	8.73227713830994e-05	0.006856050369842513	0.3106060606060606	0.12144212523719165	CD8+ T cells
Cd2	3.9075801	1.9727216	9.322511400338528e-05	0.007252315176070692	0.2803030303030303	0.08538899430740038	CD8+ T cells
Mndal	3.8916485	1.7290578	9.956543035387828e-05	0.007675136969870098	0.29545454545454547	0.09940154721938403	CD8+ T cells
Cfl1	3.8861563	1.1994063	0.00010184395205769175	0.007815256031431649	0.3939393939393939	0.21223179097941905	CD8+ T cells
Btg1	3.8822114	1.7741195	0.00010351078398355362	0.007907384619716603	0.29545454545454547	0.1046562545613779	CD8+ T cells
Sell	3.8796399	2.839301	0.00010461127612635367	0.007955617183079963	0.23484848484848486	0.03926434097212086	CD8+ T cells
Elf1	3.8247616	1.8395637	0.00013089873475227736	0.00977934644345318	0.2878787878787879	0.10013136768354984	CD8+ T cells
mt-Nd1	3.7932687	0.61100036	0.0001486771611671884	0.010962678157540644	0.6893939393939394	0.5950956064808057	CD8+ T cells
Dnajc15	3.770755	2.696697	0.0001627543762280752	0.011897204596775549	0.24242424242424243	0.05823967304043205	CD8+ T cells
Ifngr1	3.7241805	1.5189835	0.00019595074242145165	0.014140972939257014	0.3181818181818182	0.1366223908918406	CD8+ T cells
Serbp1	3.713327	1.0709066	0.0002045524403277589	0.014575650569405307	0.4393939393939394	0.2846299810246679	CD8+ T cells
Samd3	3.695804	4.715976	0.0002191918936788371	0.01542437894149128	0.19696969696969696	0.009925558312655087	CD8+ T cells
Snrpg	3.6478784	1.7668355	0.0002644148139487255	0.018377913236706706	0.29545454545454547	0.12801050941468398	CD8+ T cells
Rnf138	3.607864	3.019898	0.0003087284469465648	0.02111179730551126	0.21212121212121213	0.02977667493796526	CD8+ T cells
Gmfg	3.6066215	1.8136992	0.00031020958839265083	0.021127889194983797	0.2727272727272727	0.09341701941322435	CD8+ T cells
Msn	3.5990808	1.2099564	0.0003193441022171011	0.02166302651799927	0.3712121212121212	0.19894905853160122	CD8+ T cells
Gzmm	3.5946782	5.148935	0.00032479274920191363	0.02194486148890539	0.1893939393939394	0.007590132827324478	CD8+ T cells
Mbnl1	3.571925	1.4013665	0.00035436705763059487	0.02383102764977798	0.3333333333333333	0.17121588089330025	CD8+ T cells
Tmem66	3.571075	1.7750139	0.00035551919307705813	0.02383102764977798	0.2803030303030303	0.1085972850678733	CD8+ T cells
Sh2d1a	3.5696146	3.8053648	0.0003575066851397861	0.023869905012935563	0.19696969696969696	0.016056050211647934	CD8+ T cells
Fxyd5	3.56737	1.0559821	0.00036058235829936454	0.02398084789960362	0.3787878787878788	0.20201430448109764	CD8+ T cells
Lsp1	3.5574317	1.2002292	0.0003744985395651135	0.024809065361268593	0.3484848484848485	0.17530287549262882	CD8+ T cells
Klhl6	3.554511	2.8981383	0.0003786824173998035	0.0249886191310633	0.21212121212121213	0.03298788498029485	CD8+ T cells
Psme2b	3.542764	1.5326452	0.00039595687102507725	0.025926766701599557	0.3106060606060606	0.14640198511166252	CD8+ T cells
Rpl11	3.526353	1.6476666	0.00042132524998945335	0.027376455611383674	0.2878787878787879	0.11954459203036052	CD8+ T cells
Cnn2	3.510225	1.4178958	0.00044772767726643497	0.028870774443959964	0.3181818181818182	0.15486790249598598	CD8+ T cells
Coro1a	3.4950778	1.5985045	0.0004739234194792354	0.03032931045640888	0.2803030303030303	0.1062618595825427	CD8+ T cells
Gm5428	3.4927242	1.7047086	0.0004781202206361103	0.03036869221635878	0.2878787878787879	0.1259670121150197	CD8+ T cells
Ifi47	3.4884741	2.7736232	0.00048578570459442607	0.03074044688140624	0.21212121212121213	0.03590716683695811	CD8+ T cells
Xrn2	3.4631927	1.7950547	0.0005338059235196713	0.033405220136421054	0.26515151515151514	0.09662822945555394	CD8+ T cells
Gimap1	3.4552379	2.2355733	0.0005498077379466367	0.034280108190577245	0.22727272727272727	0.05327689388410451	CD8+ T cells
Cd247	3.4327679	3.1476295	0.0005974536262958782	0.03684442199400654	0.19696969696969696	0.02262443438914027	CD8+ T cells
Gimap7	3.3548746	2.7750213	0.0007940095889727509	0.048263830177021086	0.20454545454545456	0.03590716683695811	CD8+ T cells
mt-Rnr2	3.3416235	0.60250795	0.0008328990896980998	0.05044691307925027	0.7121212121212122	0.6562545613779011	CD8+ T cells
Klrk1	3.3280675	4.1575003	0.0008745066086653027	0.05259133892324421	0.18181818181818182	0.014012552911983653	CD8+ T cells
Arpc1b	3.2879877	1.0933453	0.0010090625657976215	0.05962610471554656	0.3484848484848485	0.1970515253247701	CD8+ T cells
Gramd3	3.2833672	3.8296359	0.0010257493601879713	0.06040167847023544	0.18181818181818182	0.016056050211647934	CD8+ T cells
Tcf7	3.2717946	3.1265583	0.00106867241683757	0.06249522592120121	0.1893939393939394	0.023646183038972413	CD8+ T cells
Gm8186	3.2626626	1.3371845	0.0011037083535814657	0.06432230229686624	0.3106060606060606	0.16056050211647935	CD8+ T cells
Hmgb2	3.2566473	1.9860699	0.0011273639795822685	0.06547591003334141	0.24242424242424243	0.08465917384323457	CD8+ T cells
Cd8a	3.2241085	3.4150815	0.0012636558145738544	0.0719138891253624	0.18181818181818182	0.01824551160414538	CD8+ T cells
Bin2	3.2079804	1.9184006	0.0013367056196433398	0.07531292559312756	0.22727272727272727	0.06582980586775654	CD8+ T cells
Cd28	3.1946642	3.3421218	0.0013999365695203242	0.07784106322129566	0.18181818181818182	0.0201430448109765	CD8+ T cells
Lcp1	3.1627572	1.0650811	0.001562826393140903	0.08494863077332236	0.3560606060606061	0.20843672456575682	CD8+ T cells
Slfn2	3.157047	1.3585272	0.0015937564053773844	0.08635308267985643	0.2878787878787879	0.13399503722084366	CD8+ T cells
Sept6	3.153233	2.3894696	0.0016147286109676681	0.0869923490146698	0.20454545454545456	0.04554079696394687	CD8+ T cells
